FORCE/DISPLACEMENT CLAMP EXPERIMENT 
 5/14/2015 
 
 Experiment Name: 	 Default 
 Cantilever ID #: 	 Default 
 Sampling rate (Hz): 	 1000 
 Actuation Mode: 	 Open Loop 
 
 Set Point (V) 	 Actuator Value (V) 	 Piezo Signal (V) 
0.000000	0.000000	0.389954
0.000000	0.000000	0.418304
0.000000	-0.000305	0.431671
0.000000	-0.000305	0.461945
0.000000	0.000305	0.401398
0.000000	-0.000305	0.419250
0.000000	-0.000305	0.431030
0.000000	0.000305	0.404907
0.000000	-0.000305	0.403015
0.000000	-0.000305	0.409363
0.000000	0.000000	0.410980
0.000000	0.000305	0.447601
0.000000	0.000000	0.407776
0.000000	-0.000641	0.422760
0.000000	-0.000305	0.436768
0.000000	-0.000641	0.416077
0.000000	0.000000	0.378143
0.000000	-0.000305	0.411926
0.000000	-0.000305	0.418304
0.000000	0.000641	0.427521
0.000000	-0.000305	0.432312
0.000000	-0.000305	0.454620
0.000000	-0.000305	0.414459
0.000000	-0.000305	0.417969
0.000000	0.000641	0.434845
0.000000	0.000305	0.435486
0.000000	-0.000305	0.415436
0.000000	-0.000641	0.406830
0.000000	-0.000305	0.406830
0.000000	0.000000	0.398865
0.000000	0.000000	0.422760
0.000000	-0.000305	0.424652
0.000000	0.000000	0.424652
0.000000	-0.000641	0.432953
0.000000	-0.000641	0.401398
0.000000	0.000000	0.432312
0.000000	-0.000946	0.447906
0.000000	-0.000641	0.391541
0.000000	-0.000641	0.443451
0.000000	-0.000305	0.405243
0.000000	-0.000305	0.423065
0.000000	0.000305	0.417023
0.000000	-0.000946	0.433258
0.000000	0.000000	0.435486
0.000000	0.000000	0.441864
0.000000	-0.000946	0.438690
0.000000	-0.000305	0.411285
0.000000	-0.000641	0.407776
0.000000	-0.000305	0.397583
0.000000	0.000000	0.427216
0.000000	0.000305	0.431976
0.000000	0.000000	0.435181
0.000000	0.000000	0.423706
0.000000	0.000000	0.414795
0.000000	-0.000305	0.407135
0.000000	0.000641	0.420837
