FORCE/DISPLACEMENT CLAMP EXPERIMENT 
 9/16/2014 
 
 Experiment Name: 	 Default 
 Cantilever ID #: 	 Default 
 Sampling rate (Hz): 	 1000 
 Actuation Mode: 	 Disp. Clamp 
 
 Set Point (um) 	 Actuator Position (um) 	 Piezo Position (um) 
0.000000	-0.016022	95.229340
0.000000	-0.016022	95.229340
0.000000	-0.016022	95.181274
0.000000	-0.016022	95.292664
0.000000	-0.023651	95.292664
0.000000	-0.016022	95.173645
0.000000	-0.007629	95.349121
0.000000	0.000000	95.149994
0.000000	0.000000	95.229340
0.000000	-0.023651	95.133972
0.000000	-0.007629	95.261383
0.000000	-0.023651	95.189667
0.000000	0.000000	95.213318
0.000000	0.000000	95.229340
0.000000	0.007629	95.277405
0.000000	0.000000	95.229340
0.000000	-0.007629	95.236969
0.000000	-0.007629	95.667267
0.000000	-0.007629	95.961761
0.000000	-0.023651	95.993805
0.000000	-0.023651	96.097565
0.000000	-0.016022	95.922089
0.000000	0.007629	95.938110
0.000000	-0.007629	95.683289
0.000000	0.007629	95.356750
0.000000	-0.016022	95.109558
0.000000	-0.007629	95.133972
0.000000	-0.031281	95.349121
0.000000	-0.016022	95.484161
0.000000	-0.007629	95.252991
0.000000	0.007629	95.022583
0.000000	-0.007629	95.030212
0.000000	-0.007629	95.109558
0.000000	0.000000	95.236969
0.000000	-0.007629	95.356750
0.000000	-0.016022	95.285034
0.000000	-0.016022	95.500183
0.000000	-0.007629	95.468140
0.000000	-0.016022	95.428467
0.000000	0.031281	95.333099
0.000000	0.000000	95.317078
0.000000	0.007629	95.356750
0.000000	-0.007629	95.420074
0.000000	0.000000	95.396423
0.000000	-0.016022	95.317078
0.000000	0.000000	95.372772
0.000000	0.007629	95.372772
0.000000	-0.007629	95.317078
0.000000	0.007629	95.372772
0.000000	0.007629	95.292664
0.000000	0.000000	95.285034
0.000000	0.000000	95.491791
0.000000	-0.016022	95.619202
0.000000	0.000000	95.715332
