FORCE/DISPLACEMENT CLAMP EXPERIMENT 
 9/16/2014 
 
 Experiment Name: 	 Default 
 Cantilever ID #: 	 Default 
 Sampling rate (Hz): 	 1000 
 Actuation Mode: 	 Disp. Clamp 
 
 Set Point (um) 	 Actuator Position (um) 	 Piezo Position (um) 
0.000000	-0.007629	92.649078
0.000000	-0.023651	92.552948
0.000000	-0.016022	92.617035
0.000000	0.023651	92.959595
0.000000	0.007629	92.656708
0.000000	0.000000	92.656708
0.000000	0.000000	92.855835
0.000000	-0.007629	92.656708
0.000000	-0.016022	92.537689
0.000000	-0.007629	92.609406
0.000000	0.000000	92.529297
0.000000	-0.016022	92.457581
0.000000	-0.007629	92.465973
0.000000	-0.007629	92.640686
0.000000	-0.007629	92.609406
0.000000	0.007629	92.704773
0.000000	-0.007629	92.712402
0.000000	-0.031281	92.688751
0.000000	-0.007629	92.672729
0.000000	-0.007629	92.577362
0.000000	0.007629	92.609406
0.000000	-0.016022	92.672729
0.000000	-0.007629	92.656708
0.000000	0.000000	92.744446
0.000000	-0.023651	92.879486
0.000000	0.000000	92.839813
0.000000	-0.016022	92.895508
0.000000	-0.016022	93.054962
0.000000	-0.016022	93.103027
0.000000	-0.016022	92.991638
0.000000	0.016022	92.959595
0.000000	0.000000	92.864227
0.000000	-0.007629	92.832184
0.000000	0.000000	92.704773
0.000000	-0.007629	92.728424
0.000000	-0.007629	92.577362
0.000000	-0.007629	92.577362
0.000000	0.007629	92.505646
0.000000	0.016022	92.584991
0.000000	0.007629	92.752075
0.000000	0.007629	92.728424
0.000000	-0.007629	92.736816
0.000000	0.000000	92.577362
0.000000	0.000000	92.441559
0.000000	-0.007629	92.378235
0.000000	0.000000	92.353821
0.000000	0.000000	92.561340
0.000000	0.007629	92.497253
0.000000	0.016022	92.640686
0.000000	-0.007629	92.561340
0.000000	-0.007629	92.665100
0.000000	-0.016022	92.425537
0.000000	0.000000	92.385864
0.000000	0.007629	92.274475
0.000000	0.007629	92.489624
0.000000	0.000000	92.433929
0.000000	0.000000	92.529297
0.000000	-0.016022	92.624664
0.000000	-0.007629	92.505646
0.000000	-0.007629	92.457581
0.000000	0.000000	92.712402
0.000000	0.000000	92.704773
0.000000	0.016022	92.768097
0.000000	0.000000	92.712402
0.000000	-0.007629	92.609406
0.000000	-0.007629	92.481995
