FORCE/DISPLACEMENT CLAMP EXPERIMENT 
 9/16/2014 
 
 Experiment Name: 	 Default 
 Cantilever ID #: 	 Default 
 Sampling rate (Hz): 	 1000 
 Actuation Mode: 	 Disp. Clamp 
 
 Set Point (um) 	 Actuator Position (um) 	 Piezo Position (um) 
0.000000	-0.023651	94.696045
0.000000	-0.007629	94.775391
0.000000	0.016022	94.870758
0.000000	0.016022	94.926453
0.000000	-0.023651	94.775391
0.000000	-0.016022	94.807434
0.000000	-0.007629	94.647980
0.000000	-0.007629	94.751740
0.000000	-0.007629	94.711304
0.000000	0.000000	94.815063
0.000000	0.007629	94.886780
0.000000	0.016022	95.069885
0.000000	-0.016022	94.926453
0.000000	-0.007629	94.791412
0.000000	0.000000	94.735718
0.000000	0.007629	94.942474
0.000000	-0.016022	94.870758
0.000000	0.000000	94.950867
0.000000	0.000000	94.735718
0.000000	0.007629	94.528198
0.000000	0.007629	94.504547
0.000000	-0.007629	94.735718
0.000000	-0.023651	94.512177
0.000000	-0.031281	94.432831
0.000000	0.000000	94.416809
0.000000	0.000000	94.472504
0.000000	0.000000	94.472504
0.000000	0.000000	94.552612
0.000000	-0.007629	94.583893
0.000000	0.007629	94.488525
0.000000	-0.007629	94.520569
0.000000	-0.016022	94.576263
0.000000	-0.007629	94.456482
0.000000	0.000000	94.759369
0.000000	0.007629	94.680023
0.000000	0.007629	94.735718
0.000000	0.000000	94.831085
0.000000	0.007629	94.823456
0.000000	0.000000	94.536591
0.000000	-0.016022	94.615936
0.000000	-0.016022	93.971252
0.000000	-0.016022	93.684387
0.000000	0.000000	93.246460
0.000000	0.000000	92.855835
0.000000	-0.016022	92.704773
0.000000	0.000000	92.577362
0.000000	-0.007629	92.521667
0.000000	-0.007629	93.150330
0.000000	-0.007629	92.768097
0.000000	-0.007629	93.389893
0.000000	-0.007629	93.413544
0.000000	0.000000	93.556976
0.000000	0.016022	93.532562
0.000000	-0.007629	93.612671
0.000000	0.000000	93.899536
0.000000	-0.023651	93.939209
0.000000	-0.007629	93.930817
0.000000	-0.007629	93.724060
0.000000	-0.007629	93.636322
0.000000	0.007629	93.492889
0.000000	0.007629	93.397522
0.000000	-0.007629	93.628693
0.000000	-0.016022	93.859100
0.000000	0.000000	93.915558
0.000000	-0.016022	93.795776
0.000000	0.007629	93.819427
0.000000	-0.007629	93.740082
0.000000	0.000000	94.145966
0.000000	0.000000	93.763733
0.000000	0.000000	93.659973
0.000000	0.007629	93.652344
0.000000	-0.016022	93.508911
0.000000	0.000000	93.469238
0.000000	-0.007629	93.421173
0.000000	-0.023651	93.166351
0.000000	-0.007629	93.293762
0.000000	0.000000	93.445587
0.000000	0.000000	93.445587
0.000000	-0.007629	93.492889
0.000000	-0.007629	93.476868
0.000000	-0.023651	93.365479
0.000000	-0.016022	93.158722
0.000000	-0.007629	93.174744
0.000000	-0.007629	93.373871
0.000000	0.000000	93.787384
0.000000	-0.007629	93.731689
0.000000	0.007629	93.596649
0.000000	-0.007629	93.532562
0.000000	-0.007629	94.098663
0.000000	-0.016022	94.217682
0.000000	-0.016022	94.129944
0.000000	-0.007629	94.201660
0.000000	0.007629	94.226074
0.000000	0.000000	94.249725
0.000000	0.016022	94.170380
0.000000	-0.016022	94.337463
0.000000	-0.007629	94.448853
0.000000	-0.016022	94.321442
0.000000	0.000000	94.552612
0.000000	-0.007629	94.257355
0.000000	0.000000	94.329071
0.000000	-0.007629	94.384766
0.000000	0.016022	94.520569
0.000000	0.007629	94.377136
0.000000	-0.016022	94.305420
0.000000	-0.016022	94.226074
0.000000	0.007629	94.161987
0.000000	-0.007629	94.210052
0.000000	-0.007629	94.329071
