FORCE/DISPLACEMENT CLAMP EXPERIMENT 
 9/16/2014 
 
 Experiment Name: 	 Default 
 Cantilever ID #: 	 Default 
 Sampling rate (Hz): 	 10000 
 Actuation Mode: 	 Disp. Clamp 
 
 Set Point (um) 	 Actuator Position (um) 	 Piezo Position (um) 
0.000000	0.000000	91.940308
0.000000	-0.007629	91.876221
0.000000	-0.007629	91.876221
0.000000	0.000000	91.940308
0.000000	-0.007629	91.931915
0.000000	-0.016022	91.884613
0.000000	0.000000	91.915894
0.000000	0.000000	91.899872
0.000000	-0.023651	91.956329
0.000000	-0.016022	92.003632
0.000000	-0.016022	91.956329
0.000000	0.000000	91.987610
0.000000	0.000000	91.931915
0.000000	0.000000	91.987610
0.000000	-0.007629	91.971588
0.000000	-0.007629	92.012024
0.000000	0.007629	91.956329
0.000000	-0.007629	91.987610
0.000000	0.016022	91.931915
0.000000	0.000000	91.908264
0.000000	0.023651	91.956329
0.000000	-0.007629	91.987610
0.000000	0.000000	91.956329
0.000000	0.000000	91.987610
0.000000	0.000000	92.035675
0.000000	-0.007629	91.899872
0.000000	0.007629	91.963959
0.000000	0.007629	91.947937
0.000000	0.007629	91.971588
0.000000	0.023651	91.979980
0.000000	0.007629	91.996002
0.000000	0.000000	91.931915
0.000000	0.007629	91.915894
0.000000	0.007629	91.979980
0.000000	0.000000	91.963959
0.000000	0.000000	92.051697
0.000000	0.000000	91.996002
0.000000	0.000000	92.003632
0.000000	-0.007629	91.915894
0.000000	0.007629	91.963959
0.000000	-0.007629	91.915894
0.000000	0.007629	91.947937
0.000000	0.007629	91.963959
0.000000	0.007629	91.924286
0.000000	0.000000	91.884613
0.000000	-0.007629	91.852570
0.000000	0.000000	91.804504
0.000000	0.000000	91.844177
0.000000	0.000000	91.868591
0.000000	-0.016022	91.820526
0.000000	-0.007629	91.852570
0.000000	-0.016022	91.852570
0.000000	-0.007629	91.732788
0.000000	-0.016022	91.844177
0.000000	-0.007629	91.899872
0.000000	-0.007629	91.868591
0.000000	-0.016022	91.852570
0.000000	0.000000	91.852570
0.000000	-0.023651	91.772461
0.000000	-0.007629	91.788483
0.000000	-0.007629	91.836548
