FORCE/DISPLACEMENT CLAMP EXPERIMENT 
 3/10/2015 
 
 Experiment Name: 	 Default 
 Cantilever ID #: 	 Default 
 Sampling rate (Hz): 	 1000 
 Actuation Mode: 	 Open Loop 
 
 Set Point (V) 	 Actuator Value (V) 	 Piezo Signal (V) 
0.000000	0.000946	-0.660034
0.000000	0.000641	-0.654938
0.000000	0.000641	-0.662903
0.000000	0.000946	-0.665131
0.000000	0.000946	-0.661926
0.000000	0.000641	-0.652710
0.000000	0.000641	-0.658752
0.000000	0.000641	-0.666412
0.000000	0.001282	-0.662903
0.000000	0.000946	-0.660980
0.000000	0.000946	-0.657806
0.000000	0.000641	-0.664795
0.000000	0.001282	-0.661926
0.000000	0.000946	-0.657471
0.000000	0.000641	-0.656219
0.000000	0.000641	-0.659393
0.000000	0.000641	-0.661621
0.000000	0.000641	-0.657806
0.000000	0.000946	-0.659698
0.000000	0.000641	-0.657166
0.000000	0.001282	-0.662262
0.000000	0.000946	-0.660339
0.000000	0.000946	-0.658112
0.000000	0.000946	-0.652710
0.000000	0.000641	-0.657471
0.000000	0.001587	-0.662567
0.000000	0.000336	-0.658447
0.000000	0.001282	-0.660980
0.000000	0.001282	-0.662567
0.000000	0.001282	-0.661621
0.000000	0.001587	-0.657166
0.000000	0.001282	-0.657471
0.000000	0.000641	-0.658752
0.000000	0.000946	-0.660675
0.000000	0.000336	-0.661316
0.000000	0.000641	-0.659058
0.000000	0.000641	-0.657806
0.000000	0.000946	-0.666412
0.000000	0.001282	-0.660675
0.000000	0.000946	-0.659393
0.000000	0.000946	-0.660675
0.000000	0.001282	-0.660675
0.000000	0.001282	-0.659698
0.000000	0.000946	-0.662262
0.000000	0.000946	-0.654297
0.000000	0.000641	-0.661621
0.000000	0.000641	-0.661926
0.000000	0.001282	-0.656830
0.000000	0.000641	-0.654602
0.000000	0.000641	-0.660339
0.000000	0.000946	-0.659393
0.000000	0.001282	-0.664154
0.000000	0.000641	-0.659393
0.000000	0.000641	-0.658447
0.000000	0.000641	-0.662262
0.000000	0.000946	-0.665436
0.000000	0.001282	-0.660034
0.000000	0.000641	-0.657806
0.000000	0.001587	-0.659393
0.000000	0.001282	-0.665771
0.000000	0.000946	-0.654938
0.000000	0.001282	-0.660675
0.000000	0.000641	-0.663544
0.000000	0.000000	-0.662903
0.000000	0.001282	-0.660034
0.000000	0.000946	-0.656830
0.000000	0.001282	-0.659058
0.000000	0.000946	-0.660980
0.000000	0.000641	-0.663208
0.000000	0.001282	-0.668945
0.000000	0.000946	-0.666077
0.000000	0.000946	-0.665436
0.000000	0.000946	-0.654297
0.000000	0.000946	-0.659058
0.000000	0.000946	-0.655243
0.000000	0.001282	-0.657471
0.000000	0.000946	-0.664490
0.000000	0.000641	-0.660339
0.000000	0.000641	-0.663849
0.000000	0.000641	-0.656525
0.000000	0.001282	-0.671173
0.000000	0.001282	-0.662262
0.000000	0.000946	-0.658447
0.000000	0.000336	-0.663208
0.000000	0.000641	-0.662903
