FORCE/DISPLACEMENT CLAMP EXPERIMENT 
 3/20/2015 
 
 Experiment Name: 	 Default 
 Cantilever ID #: 	 Default 
 Sampling rate (Hz): 	 1000 
 Actuation Mode: 	 Open Loop 
 
 Set Point (V) 	 Actuator Value (V) 	 Piezo Signal (V) 
0.000000	0.000641	-0.009094
0.000000	0.000641	-0.011322
0.000000	0.000946	-0.010681
0.000000	0.000946	-0.005615
0.000000	0.000946	-0.002106
0.000000	0.001282	-0.007202
0.000000	0.000946	-0.002411
0.000000	0.000946	-0.001770
0.000000	0.001282	-0.006226
0.000000	0.000641	-0.008148
0.000000	0.001282	-0.010681
0.000000	0.000641	-0.003052
0.000000	0.000336	-0.004639
0.000000	0.000641	-0.004639
0.000000	0.000946	-0.007507
0.000000	0.000336	-0.009735
0.000000	0.000641	-0.005615
0.000000	0.000641	-0.009094
0.000000	0.000946	-0.004333
0.000000	0.000946	-0.010071
0.000000	0.000336	-0.012939
0.000000	0.001282	-0.004639
0.000000	0.000641	-0.008789
0.000000	0.000641	-0.010071
0.000000	0.001587	-0.005615
0.000000	0.000641	-0.010376
0.000000	0.000946	-0.003357
0.000000	0.001282	-0.005920
0.000000	0.000336	-0.008148
0.000000	0.000946	-0.008148
0.000000	0.000336	-0.004639
0.000000	0.000641	-0.006226
0.000000	0.000641	-0.002747
0.000000	0.001587	-0.007843
0.000000	0.000946	-0.004639
0.000000	0.000946	-0.011322
0.000000	0.000946	-0.009094
0.000000	0.000641	-0.003357
0.000000	0.000641	-0.007507
0.000000	0.000946	-0.008148
0.000000	0.000336	-0.009735
0.000000	0.000641	-0.010376
0.000000	0.000946	-0.005615
0.000000	0.000641	-0.010376
0.000000	0.000946	-0.006561
0.000000	0.000641	-0.003052
0.000000	0.000946	-0.004639
0.000000	0.000641	-0.006561
0.000000	0.000641	-0.007202
0.000000	0.000946	-0.009735
0.000000	0.001282	-0.006561
0.000000	0.000336	-0.011963
0.000000	0.001282	-0.011658
0.000000	0.000641	-0.006226
0.000000	0.000641	-0.009735
0.000000	0.001282	-0.006561
0.000000	0.000641	-0.010071
0.000000	0.000946	-0.008453
0.000000	0.000946	-0.003998
0.000000	0.001282	-0.007202
0.000000	0.000946	-0.006226
0.000000	0.000336	-0.009430
0.000000	0.000946	-0.012604
0.000000	0.000336	-0.012939
0.000000	0.000946	-0.005615
0.000000	0.000641	-0.003357
0.000000	0.000946	-0.006866
0.000000	0.000641	-0.006561
0.000000	0.000946	-0.007843
0.000000	0.000336	-0.008148
0.000000	0.000946	-0.007202
0.000000	0.001587	-0.006866
0.000000	0.000946	-0.006561
0.000000	0.000946	-0.005280
0.000000	0.000946	-0.009430
0.000000	0.000641	-0.004639
0.000000	0.000641	-0.005280
0.000000	0.000336	-0.005615
0.000000	0.001587	-0.005280
0.000000	0.000336	-0.004974
0.000000	0.001282	-0.008789
0.000000	0.000641	-0.006226
0.000000	0.000946	-0.006866
0.000000	0.000641	-0.009430
0.000000	0.000946	-0.008148
0.000000	0.000641	-0.002106
0.000000	0.000946	-0.002411
0.000000	0.000946	-0.004333
0.000000	0.000641	-0.010071
0.000000	0.000946	-0.008789
0.000000	0.000336	-0.009735
0.000000	0.000641	-0.009430
0.000000	0.000946	-0.006561
0.000000	0.000946	-0.008148
0.000000	0.000946	-0.006561
0.000000	0.000641	-0.007843
0.000000	0.000641	-0.011017
0.000000	0.000946	-0.002106
0.000000	0.000946	-0.007202
0.000000	0.000946	-0.007507
0.000000	0.000946	-0.002747
0.000000	0.000946	-0.003357
0.000000	0.000641	-0.004974
0.000000	0.000336	-0.003357
0.000000	0.000641	-0.003693
0.000000	0.000641	-0.002411
0.000000	0.001282	-0.005615
0.000000	0.000946	-0.004974
0.000000	0.000641	-0.003357
0.000000	0.000641	-0.009430
0.000000	0.000946	-0.006866
0.000000	0.001282	-0.005920
0.000000	0.000336	-0.005615
0.000000	0.001282	-0.000519
0.000000	0.000641	-0.005920
0.000000	0.000641	-0.006866
0.000000	0.001282	-0.006866
0.000000	0.000641	-0.010376
0.000000	0.000946	-0.007843
0.000000	0.000946	-0.008148
0.000000	0.000946	-0.001770
0.000000	0.001587	-0.004639
0.000000	0.000946	-0.011017
0.000000	0.000946	-0.009094
0.000000	0.000336	-0.003052
0.000000	0.000641	-0.006561
0.000000	0.000946	-0.009735
0.000000	0.000946	-0.010376
0.000000	0.000336	-0.006866
0.000000	0.001282	-0.011658
0.000000	0.001282	-0.005280
0.000000	0.000946	-0.007507
0.000000	0.000641	-0.003693
0.000000	0.001282	-0.004639
0.000000	0.000641	-0.011963
0.000000	0.000946	-0.008789
0.000000	0.000946	-0.010071
0.000000	0.000946	-0.008453
0.000000	0.000641	-0.006866
0.000000	0.000946	-0.007843
0.000000	0.001282	-0.004639
0.000000	0.000946	-0.007843
0.000000	0.000641	-0.004974
0.000000	0.000641	-0.003693
0.000000	0.001282	-0.006226
0.000000	0.000946	-0.004333
0.000000	0.000641	-0.011658
0.000000	0.000946	-0.003052
0.000000	0.001282	-0.009735
0.000000	0.000946	-0.004639
0.000000	0.000946	-0.008148
0.000000	0.000946	-0.006561
0.000000	0.000946	-0.009094
0.000000	0.000641	-0.006561
0.000000	0.000946	-0.004974
0.000000	0.000946	-0.006226
0.000000	0.000946	-0.007202
0.000000	0.001282	-0.010681
0.000000	0.000946	-0.004333
0.000000	0.000000	-0.010681
0.000000	0.000641	-0.012939
0.000000	0.000946	-0.000824
0.000000	0.000946	-0.007507
0.000000	0.000946	-0.009430
0.000000	0.001587	-0.008789
0.000000	0.000946	-0.008789
0.000000	0.001282	-0.003998
0.000000	0.001282	-0.004974
0.000000	0.000946	-0.005280
0.000000	0.000641	-0.010071
0.000000	0.000641	-0.003052
0.000000	0.001282	-0.004639
0.000000	0.000946	-0.004639
0.000000	0.000946	-0.007507
0.000000	0.001282	-0.005615
0.000000	0.000946	-0.011017
0.000000	0.000336	-0.011322
0.000000	0.000336	-0.014191
0.000000	0.000336	-0.007507
0.000000	0.000641	-0.005615
0.000000	0.001282	-0.010071
0.000000	0.000946	-0.005280
0.000000	0.000946	-0.011658
0.000000	0.000641	-0.011658
0.000000	0.000336	-0.005615
0.000000	0.000946	-0.004974
0.000000	0.000946	-0.007202
0.000000	0.000641	-0.001465
0.000000	0.000946	-0.002106
0.000000	0.001282	-0.013550
0.000000	0.000641	-0.012939
0.000000	0.000946	-0.006561
0.000000	0.001587	-0.004974
0.000000	0.000946	-0.010071
0.000000	0.000641	-0.005615
0.000000	0.000336	-0.010376
0.000000	0.000641	-0.009430
0.000000	0.000336	-0.007507
0.000000	0.000641	-0.011017
0.000000	0.000946	-0.008453
0.000000	0.000641	-0.007843
0.000000	0.000946	-0.003357
0.000000	0.000946	-0.004333
0.000000	0.001282	-0.004333
0.000000	0.000336	-0.010071
0.000000	0.000946	-0.008453
0.000000	0.001282	-0.005920
0.000000	0.000946	-0.010071
0.000000	0.000336	-0.014191
0.000000	0.000641	-0.007507
0.000000	0.000946	-0.009430
0.000000	0.000000	-0.012604
0.000000	0.001282	-0.008148
0.000000	0.001282	-0.007843
0.851318	0.011383	-0.004974
0.849091	0.091644	0.014771
0.846832	0.225281	0.084839
0.844543	0.390228	0.180695
0.842285	0.544098	0.267303
0.839966	0.644897	0.322083
0.837677	0.719788	0.361908
0.835358	0.779816	0.413818
0.833008	0.818665	0.452332
0.830658	0.840790	0.448517
0.828308	0.845520	0.437683
0.825928	0.854675	0.429108
0.823517	0.859436	0.445648
0.821136	0.863220	0.438019
0.818726	0.860046	0.425262
0.816284	0.854370	0.420807
0.813843	0.860046	0.432281
0.811401	0.858154	0.429718
0.808929	0.850281	0.396942
0.806458	0.840790	0.370483
0.803955	0.837311	0.363800
0.801483	0.837006	0.353943
0.798950	0.830353	0.344391
0.796448	0.825928	0.325928
0.793884	0.824677	0.346619
0.791351	0.825623	0.385468
0.788788	0.827820	0.397247
0.786224	0.817413	0.402985
0.783630	0.813293	0.395660
0.781036	0.812042	0.412201
0.778442	0.807922	0.404877
0.775848	0.800659	0.375580
0.773193	0.794342	0.358398
0.770569	0.794342	0.366028
0.767914	0.798126	0.373993
0.765259	0.793396	0.370819
0.762604	0.788666	0.354889
0.759918	0.785187	0.355835
0.757233	0.787079	0.351379
0.754547	0.781708	0.333252
0.751831	0.772858	0.305206
0.749115	0.770020	0.295013
0.746399	0.770630	0.318268
0.743652	0.771271	0.319550
0.740906	0.767487	0.329742
0.738129	0.764313	0.339294
0.735382	0.765900	0.366364
0.732605	0.765900	0.384827
0.729828	0.759277	0.369232
0.727020	0.749481	0.348511
0.724213	0.747589	0.341827
0.721405	0.747253	0.333557
0.718597	0.743164	0.326538
0.715759	0.739685	0.308075
0.712921	0.736206	0.312866
0.710083	0.739990	0.322083
0.707214	0.738098	0.330048
0.704376	0.732086	0.307434
0.701508	0.725159	0.295654
0.698608	0.724182	0.297577
0.695740	0.722931	0.287689
0.692841	0.717865	0.279724
0.689941	0.713440	0.285797
0.687012	0.714386	0.300110
0.684113	0.715363	0.324646
