FORCE/DISPLACEMENT CLAMP EXPERIMENT 
 3/20/2015 
 
 Experiment Name: 	 Default 
 Cantilever ID #: 	 Default 
 Sampling rate (Hz): 	 1000 
 Actuation Mode: 	 Open Loop 
 
 Set Point (V) 	 Actuator Value (V) 	 Piezo Signal (V) 
0.000000	0.001892	0.199493
0.000000	0.000946	0.202362
0.000000	0.000946	0.202667
0.000000	0.000641	0.198517
0.000000	0.000641	0.194702
0.000000	0.000641	0.198853
0.000000	0.000641	0.204254
0.000000	0.001587	0.200439
0.000000	0.000946	0.200439
0.000000	0.001282	0.201721
0.000000	0.000641	0.196289
0.000000	0.000641	0.196625
0.000000	0.000336	0.199493
0.000000	0.000946	0.199493
0.000000	0.001282	0.207458
0.000000	0.000946	0.197571
0.000000	0.000946	0.198212
0.000000	0.000641	0.193115
0.000000	0.000946	0.191833
0.000000	0.000641	0.195038
0.000000	0.000946	0.193756
0.000000	0.000641	0.200134
0.000000	0.000946	0.199799
0.000000	0.000641	0.199799
0.000000	0.000641	0.195984
0.000000	0.000946	0.195679
0.000000	0.000641	0.198853
0.000000	0.000946	0.202667
0.000000	0.001282	0.201385
0.000000	0.001282	0.197571
0.000000	0.000946	0.205231
0.000000	0.000946	0.200134
0.000000	0.000641	0.199158
0.000000	0.000336	0.202362
0.000000	0.000946	0.201721
0.000000	0.000946	0.201385
0.000000	0.001282	0.198517
0.000000	0.000641	0.197571
0.000000	0.000946	0.195038
0.000000	0.000641	0.200134
0.000000	0.000946	0.196289
0.000000	0.000946	0.199158
0.000000	0.001282	0.198212
0.000000	0.000641	0.198853
0.000000	0.000336	0.199158
0.000000	0.000946	0.195038
0.000000	0.000946	0.197266
0.000000	0.001587	0.199493
0.000000	0.000946	0.201385
0.000000	0.000641	0.201721
0.000000	0.000946	0.195679
0.000000	0.000336	0.193756
0.000000	0.000946	0.196625
0.000000	0.000946	0.201385
0.000000	0.000946	0.202362
0.000000	0.001282	0.201080
0.000000	0.000336	0.196625
0.000000	0.000946	0.193115
0.000000	0.000336	0.196289
0.000000	0.000336	0.198853
0.000000	0.000336	0.198212
0.000000	0.001282	0.201721
0.000000	0.001892	0.203003
0.000000	0.000336	0.200134
0.000000	0.000641	0.193420
0.000000	0.000641	0.189301
0.000000	0.000946	0.198517
0.000000	0.000946	0.202026
0.000000	0.001282	0.201080
0.000000	0.000641	0.201080
0.000000	0.000946	0.204254
0.000000	0.000641	0.193420
0.000000	0.000641	0.200134
0.000000	0.000336	0.199799
0.000000	0.001282	0.203003
0.000000	0.001282	0.197906
0.000000	0.000641	0.202362
0.000000	0.000641	0.203003
0.000000	0.000641	0.194397
0.000000	0.000000	0.195679
0.000000	0.000946	0.206177
0.000000	0.000641	0.198853
0.000000	0.000641	0.201080
0.000000	0.001282	0.194397
0.000000	0.000946	0.196625
0.000000	0.000336	0.200439
0.000000	0.001282	0.199493
0.000000	0.000336	0.206177
0.000000	0.000641	0.207458
0.000000	0.001282	0.197571
0.000000	0.000946	0.199799
