FORCE/DISPLACEMENT CLAMP EXPERIMENT 
 3/20/2015 
 
 Experiment Name: 	 Default 
 Cantilever ID #: 	 Default 
 Sampling rate (Hz): 	 1000 
 Actuation Mode: 	 Open Loop 
 
 Set Point (V) 	 Actuator Value (V) 	 Piezo Signal (V) 
0.000000	0.000336	0.011902
0.000000	0.000946	0.012238
0.000000	0.000946	0.015106
0.000000	0.000641	0.017334
0.000000	0.001282	0.015411
0.000000	0.000641	0.016388
0.000000	0.000641	0.013824
0.000000	0.000946	0.011292
0.000000	0.000946	0.020203
0.000000	0.000946	0.016388
0.000000	0.001282	0.016998
0.157715	0.000946	0.013519
0.169342	0.000946	0.017334
0.181274	0.004425	0.016388
0.193542	0.012024	0.022430
0.206116	0.023071	0.029419
0.218964	0.036987	0.041199
0.232086	0.052765	0.052368
0.245483	0.067932	0.052673
0.259125	0.083435	0.071777
0.273010	0.101105	0.089935
0.287109	0.117859	0.102661
0.301422	0.134277	0.103638
0.315918	0.150726	0.124329
0.330627	0.167480	0.138977
0.345490	0.183594	0.144714
0.360504	0.199066	0.158722
0.375641	0.214233	0.163177
0.390900	0.230347	0.183258
0.406281	0.246765	0.186737
0.421753	0.261322	0.197906
0.437317	0.277100	0.213806
0.452911	0.291962	0.216034
0.468567	0.307129	0.226868
0.484253	0.322906	0.234528
0.499969	0.337769	0.243439
0.515656	0.352936	0.253937
0.531342	0.367798	0.269226
0.546997	0.383575	0.275909
0.562622	0.399078	0.293121
0.578156	0.414246	0.299469
0.593628	0.430969	0.315094
0.609009	0.445526	0.323059
0.624268	0.460693	0.339294
0.639435	0.476166	0.346619
0.654449	0.491974	0.356812
0.669281	0.508087	0.366364
0.683990	0.522919	0.374329
0.698486	0.539673	0.391846
0.712799	0.554535	0.399475
0.726898	0.570007	0.407104
0.740784	0.585175	0.413818
0.754425	0.599701	0.425598
0.767822	0.615173	0.437378
0.780945	0.630035	0.449158
0.793793	0.644897	0.455536
0.806335	0.659424	0.460937
0.818604	0.673340	0.479401
0.830536	0.687866	0.488647
0.842163	0.701752	0.500122
0.853455	0.715668	0.508057
0.864380	0.728607	0.519867
0.874939	0.742523	0.529724
0.885132	0.755463	0.540222
0.894958	0.768738	0.547546
0.904388	0.781067	0.554260
0.913422	0.793701	0.567291
0.922058	0.806671	0.569214
0.930267	0.819000	0.578125
0.938049	0.830688	0.586090
0.945404	0.841736	0.590881
0.952301	0.852783	0.600098
0.958771	0.863220	0.604553
0.964783	0.873322	0.610931
0.970367	0.883759	0.616333
0.975433	0.892914	0.627502
0.980072	0.902069	0.636078
0.984222	0.911560	0.641174
0.987885	0.919769	0.646271
0.991089	0.927032	0.652954
0.993805	0.934326	0.658051
0.996033	0.941254	0.663147
0.997742	0.947266	0.668579
0.998993	0.953278	0.673035
0.999756	0.959259	0.673035
1.000000	0.963379	0.676544
0.999756	0.968445	0.680664
0.999023	0.973175	0.678131
0.997803	0.977600	0.686737
0.996094	0.979492	0.687988
0.993896	0.982971	0.694366
0.991211	0.985168	0.694061
0.988037	0.986755	0.694061
0.984406	0.988342	0.689575
0.980255	0.988983	0.691498
0.975677	0.989929	0.687988
0.970581	0.989594	0.693420
0.965057	0.989288	0.689575
0.959076	0.988647	0.687683
0.952637	0.988037	0.693726
0.945740	0.985809	0.691498
0.938416	0.982666	0.687347
0.930634	0.980774	0.687988
0.922455	0.976959	0.685760
0.913849	0.973480	0.683533
0.904846	0.968750	0.678131
0.895416	0.964325	0.676544
0.885620	0.959259	0.675568
0.875458	0.952942	0.671448
0.864899	0.947266	0.664429
0.854004	0.940308	0.659027
0.842743	0.934326	0.656464
0.831146	0.926422	0.649780
0.819214	0.917877	0.642151
0.806976	0.910309	0.631958
0.794434	0.901459	0.632599
0.781616	0.892609	0.629730
0.768524	0.883453	0.620789
0.755157	0.872711	0.615387
0.741516	0.862915	0.605835
0.727661	0.851532	0.593750
0.713593	0.840485	0.588654
0.699280	0.829407	0.578461
0.684814	0.817413	0.578461
0.670135	0.806030	0.566040
0.655304	0.793091	0.554871
0.640289	0.780426	0.548523
0.625183	0.768433	0.543732
0.609924	0.756104	0.531006
0.594543	0.742523	0.525269
0.579102	0.728943	0.517303
0.563568	0.715668	0.503937
0.547974	0.702087	0.493744
0.532349	0.687866	0.487701
0.516663	0.673340	0.480042
0.500977	0.659424	0.463806
0.485291	0.644897	0.458710
