FORCE/DISPLACEMENT CLAMP EXPERIMENT 
 3/20/2015 
 
 Experiment Name: 	 Default 
 Cantilever ID #: 	 Default 
 Sampling rate (Hz): 	 1000 
 Actuation Mode: 	 Open Loop 
 
 Set Point (V) 	 Actuator Value (V) 	 Piezo Signal (V) 
0.000000	0.000946	0.413177
0.000000	0.000641	0.405518
0.000000	0.000946	0.415070
0.000000	0.000946	0.409363
0.000000	0.000641	0.412842
0.000000	0.000946	0.412537
0.000000	0.001282	0.410614
0.000000	0.001282	0.412201
0.000000	0.001282	0.406799
0.000000	0.000946	0.412537
0.000000	0.000641	0.406494
0.000000	0.000641	0.406494
0.000000	0.000946	0.411591
0.000000	0.001282	0.414124
0.000000	0.000641	0.411255
0.000000	0.001282	0.414429
0.000000	0.001282	0.407745
0.000000	0.000641	0.410614
0.000000	0.000336	0.414429
0.000000	0.000641	0.411591
0.000000	0.001282	0.413177
0.000000	0.000641	0.411255
0.000000	0.000946	0.412842
0.000000	0.000336	0.414764
0.000000	0.001282	0.410309
0.000000	0.000641	0.411255
0.000000	0.001282	0.418274
0.000000	0.000336	0.410614
0.000000	0.000336	0.412201
0.000000	0.000641	0.408081
0.000000	0.000336	0.410309
0.000000	0.000641	0.408386
0.000000	0.000641	0.409027
0.000000	0.000946	0.418274
0.000000	0.000946	0.412842
0.000000	0.001282	0.410950
0.000000	0.000946	0.412537
0.000000	0.001587	0.409668
0.000000	0.000641	0.404572
0.000000	0.000946	0.411591
0.000000	0.000946	0.410614
0.000000	0.000946	0.412201
0.000000	0.000946	0.415710
0.000000	0.000641	0.411591
0.000000	0.001282	0.415070
0.000000	0.000946	0.410950
0.000000	0.001282	0.410309
0.000000	0.000946	0.410309
0.000000	0.000946	0.411896
0.000000	0.001282	0.412537
0.000000	0.000641	0.413483
0.000000	0.000946	0.408081
0.000000	0.000946	0.410309
0.000000	0.000641	0.405853
0.000000	0.000946	0.413818
0.000000	0.000946	0.413818
0.000000	0.000641	0.414764
0.000000	0.000641	0.411591
0.000000	0.000641	0.409027
0.000000	0.000946	0.411591
0.000000	0.000336	0.409363
0.000000	0.000336	0.410950
0.000000	0.001282	0.409668
0.000000	0.000336	0.411896
0.000000	0.000336	0.412201
0.000000	0.000641	0.409363
0.000000	0.001282	0.410950
0.000000	0.000336	0.412201
0.000000	0.000946	0.415710
0.000000	0.000336	0.409973
0.000000	0.000946	0.414124
0.000000	0.000641	0.409363
0.000000	0.000641	0.410309
0.000000	0.001282	0.413177
