FORCE/DISPLACEMENT CLAMP EXPERIMENT 
 3/20/2015 
 
 Experiment Name: 	 Default 
 Cantilever ID #: 	 Default 
 Sampling rate (Hz): 	 1000 
 Actuation Mode: 	 Open Loop 
 
 Set Point (V) 	 Actuator Value (V) 	 Piezo Signal (V) 
0.000000	0.001282	-0.735809
0.000000	0.000946	-0.734558
0.000000	0.000641	-0.728821
0.000000	0.000641	-0.733276
0.000000	0.000641	-0.734222
0.000000	0.000641	-0.732635
0.000000	0.001282	-0.729767
0.000000	0.000946	-0.729126
0.000000	0.001587	-0.735504
0.000000	0.000946	-0.739014
0.000000	0.000946	-0.730408
0.000000	0.000641	-0.732941
0.000000	0.000946	-0.734558
0.000000	0.000641	-0.733917
0.000000	0.000946	-0.732330
0.000000	0.001282	-0.736145
0.000000	0.000946	-0.735199
0.000000	0.001587	-0.732635
0.000000	0.000641	-0.735504
0.000000	0.000946	-0.731049
0.000000	0.000641	-0.729767
0.000000	0.001282	-0.732330
0.000000	0.001282	-0.741241
0.000000	0.000336	-0.731049
0.000000	0.000946	-0.737091
0.000000	0.001282	-0.731354
0.000000	0.001282	-0.731354
0.000000	0.000946	-0.731995
0.000000	0.000946	-0.739319
0.000000	0.001282	-0.730103
0.000000	0.000946	-0.734558
0.000000	0.000946	-0.730408
0.000000	0.000946	-0.733276
0.000000	0.001282	-0.736786
0.000000	0.001587	-0.735809
0.000000	0.001282	-0.727539
0.000000	0.001587	-0.729126
0.000000	0.000946	-0.731049
0.000000	0.000946	-0.733276
0.000000	0.001282	-0.738678
0.000000	0.000946	-0.736786
0.000000	0.001587	-0.734863
0.000000	0.000641	-0.731354
0.000000	0.001587	-0.740265
0.000000	0.000946	-0.738678
0.000000	0.000641	-0.737427
0.000000	0.000641	-0.740601
0.000000	0.000946	-0.733917
0.000000	0.000946	-0.738037
0.000000	0.000641	-0.730408
0.000000	0.001282	-0.733917
0.000000	0.000946	-0.735809
0.000000	0.000641	-0.739655
0.000000	0.000946	-0.734222
0.000000	0.001282	-0.733276
0.000000	0.001282	-0.734558
0.000000	0.001282	-0.731354
0.000000	0.001282	-0.731689
0.000000	0.001587	-0.736450
0.000000	0.000336	-0.735504
0.000000	0.000946	-0.732941
0.000000	0.000336	-0.733276
0.000000	0.001282	-0.731995
0.000000	0.000000	-0.732635
0.000000	0.000946	-0.731689
0.000000	0.000946	-0.734222
0.000000	0.001282	-0.736145
0.000000	0.000946	-0.732635
0.000000	0.000641	-0.742187
0.000000	0.000946	-0.733276
0.000000	0.001282	-0.737427
0.000000	0.001282	-0.732330
0.000000	0.001282	-0.738678
0.000000	0.000946	-0.737427
0.000000	0.001587	-0.736145
0.000000	0.000641	-0.732941
0.000000	0.001282	-0.734558
0.000000	0.000641	-0.733276
0.000000	0.001282	-0.735199
0.000000	0.001282	-0.735809
0.000000	0.000641	-0.732941
0.000000	0.000946	-0.734863
0.000000	0.000336	-0.738373
0.000000	0.001587	-0.738037
0.000000	0.000641	-0.729767
0.000000	0.000641	-0.735504
0.000000	0.000641	-0.730713
0.000000	0.001282	-0.735199
0.000000	0.000641	-0.739655
0.000000	0.001282	-0.736786
0.000000	0.000641	-0.735504
0.000000	0.001282	-0.734558
0.000000	0.000641	-0.730408
0.000000	0.000336	-0.735809
0.000000	0.000946	-0.730408
0.000000	0.000946	-0.737427
0.000000	0.000336	-0.731354
0.000000	0.001282	-0.732635
0.000000	0.000946	-0.730408
0.000000	0.000946	-0.737732
0.000000	0.000641	-0.738678
0.000000	0.000946	-0.737091
0.000000	0.001282	-0.733582
0.000000	0.000641	-0.733276
0.000000	0.000641	-0.736145
0.000000	0.000946	-0.739014
0.000000	0.001282	-0.738037
0.000000	0.000946	-0.729767
0.000000	0.000946	-0.732941
0.000000	0.000336	-0.736450
0.000000	0.000641	-0.737091
0.000000	0.000946	-0.735199
0.000000	0.000641	-0.729462
0.000000	0.000946	-0.731689
0.000000	0.000946	-0.734222
0.000000	0.000946	-0.737427
0.000000	0.000641	-0.738373
0.000000	0.001282	-0.738037
0.000000	0.001282	-0.735809
0.000000	0.001282	-0.731995
0.000000	0.001587	-0.732941
0.000000	0.000946	-0.733917
0.000000	0.000641	-0.734222
0.000000	0.001282	-0.735199
0.000000	0.000946	-0.734863
0.000000	0.000946	-0.735504
0.000000	0.001282	-0.734863
0.000000	0.000641	-0.732941
0.000000	0.000946	-0.735199
0.000000	0.000641	-0.735809
0.000000	0.000336	-0.735809
0.000000	0.000641	-0.735504
0.000000	0.000336	-0.737732
0.000000	0.000641	-0.730408
0.000000	0.001282	-0.733582
0.000000	0.001282	-0.733276
0.000000	0.001892	-0.735199
0.000000	0.000946	-0.738037
0.000000	0.000336	-0.734863
0.000000	0.000946	-0.736786
0.000000	0.001282	-0.733917
0.000000	0.000641	-0.736145
0.000000	0.001282	-0.742523
0.000000	0.000641	-0.732941
0.000000	0.000946	-0.737091
0.000000	0.000641	-0.731354
0.000000	0.000946	-0.736450
0.000000	0.001587	-0.734863
0.000000	0.001282	-0.732941
0.000000	0.001282	-0.729767
0.000000	0.001282	-0.733917
0.000000	0.000641	-0.732941
0.000000	0.000946	-0.732941
0.000000	0.001282	-0.734558
0.000000	0.000641	-0.731689
0.000000	0.000946	-0.731689
0.000000	0.000946	-0.735199
0.000000	0.000641	-0.739014
0.000000	0.000641	-0.737427
0.000000	0.001282	-0.738678
0.000000	0.000336	-0.734558
0.000000	0.001282	-0.730408
0.000000	0.001282	-0.734558
0.000000	0.001282	-0.736145
0.000000	0.001282	-0.735199
0.000000	0.001282	-0.740265
0.000000	0.001282	-0.736786
0.000000	0.000641	-0.733276
0.000000	0.001587	-0.735504
0.000000	0.000946	-0.732330
0.000000	0.000641	-0.734222
0.000000	0.000946	-0.735504
0.000000	0.000641	-0.735809
0.000000	0.001587	-0.733917
0.000000	0.001282	-0.733582
0.000000	0.000946	-0.738373
0.000000	0.001587	-0.731049
0.000000	0.001282	-0.734222
0.000000	0.001587	-0.738037
0.000000	0.000641	-0.730713
0.000000	0.000641	-0.729767
0.000000	0.000641	-0.731995
0.000000	0.000641	-0.731049
0.000000	0.000946	-0.730408
0.000000	0.001587	-0.726593
0.000000	0.000641	-0.734863
0.000000	0.001587	-0.731995
0.000000	0.001282	-0.737732
0.000000	0.000946	-0.734558
0.000000	0.000641	-0.736145
0.000000	0.000641	-0.735504
0.000000	0.001282	-0.740265
0.000000	0.000946	-0.733917
0.000000	0.000946	-0.731995
0.000000	0.001282	-0.735504
0.000000	0.001282	-0.737091
0.000000	0.000946	-0.733582
0.000000	0.001282	-0.738373
0.000000	0.000641	-0.734558
0.000000	0.000946	-0.737427
0.000000	0.001282	-0.735199
0.000000	0.000641	-0.733917
0.000000	0.000641	-0.734558
0.000000	0.001282	-0.727539
0.000000	0.001282	-0.740601
0.000000	0.001282	-0.737732
0.000000	0.001587	-0.732330
0.000000	0.000641	-0.732635
0.000000	0.000946	-0.737732
0.000000	0.000336	-0.735199
0.000000	0.000946	-0.735199
0.000000	0.001587	-0.732941
0.000000	0.000641	-0.735504
0.000000	0.000946	-0.735199
0.000000	0.001587	-0.734558
0.000000	0.000946	-0.734222
0.000000	0.001282	-0.736450
0.000000	0.000946	-0.736786
0.000000	0.000641	-0.735199
0.000000	0.000946	-0.730713
0.000000	0.000946	-0.735199
0.000000	0.001282	-0.734558
0.000000	0.000946	-0.733276
0.000000	0.000946	-0.732330
0.000000	0.001587	-0.730103
0.000000	0.001282	-0.734222
0.000000	0.001282	-0.734863
0.000000	0.001282	-0.736145
0.000000	0.000641	-0.731354
0.000000	0.000641	-0.737091
0.000000	0.001587	-0.737732
0.000000	0.000946	-0.735809
0.000000	0.000946	-0.736450
0.000000	0.001282	-0.736786
0.000000	0.001282	-0.730408
0.000000	0.000946	-0.731995
0.000000	0.001282	-0.735809
0.000000	0.001587	-0.738373
0.000000	0.000946	-0.737732
0.000000	0.001282	-0.731995
0.000000	0.000946	-0.735504
0.000000	0.000946	-0.738037
0.000000	0.001282	-0.734222
0.000000	0.000946	-0.732635
0.000000	0.001282	-0.741882
0.000000	0.001282	-0.737732
0.000000	0.001587	-0.732330
0.000000	0.001587	-0.731354
0.000000	0.001282	-0.729767
0.000000	0.001587	-0.732941
0.000000	0.000946	-0.732635
0.000000	0.000641	-0.735809
0.000000	0.001282	-0.738037
0.000000	0.000946	-0.731049
0.000000	0.000946	-0.732635
0.000000	0.001282	-0.735809
0.000000	0.001587	-0.736450
0.000000	0.000641	-0.733582
0.000000	0.000641	-0.739655
0.000000	0.000641	-0.737732
0.000000	0.001587	-0.735504
0.000000	0.000641	-0.729767
0.000000	0.000946	-0.732635
0.000000	0.001282	-0.734558
0.000000	0.001282	-0.735504
0.000000	0.001282	-0.736145
0.000000	0.000641	-0.735809
0.000000	0.000641	-0.733582
0.000000	0.001587	-0.736145
0.000000	0.001282	-0.737427
0.000000	0.001282	-0.728485
0.000000	0.000641	-0.738678
0.000000	0.000946	-0.739319
0.000000	0.001282	-0.730408
0.000000	0.000946	-0.731049
0.000000	0.001282	-0.729462
0.000000	0.001282	-0.735809
0.000000	0.000946	-0.732635
0.000000	0.001282	-0.732635
0.000000	0.000336	-0.738037
0.000000	0.000946	-0.733276
0.000000	0.001282	-0.735809
0.000000	0.000946	-0.731354
0.000000	0.000946	-0.734863
0.000000	0.001587	-0.737091
0.000000	0.000946	-0.739319
0.000000	0.001282	-0.734558
0.000000	0.000641	-0.736145
0.000000	0.000946	-0.729462
0.000000	0.001282	-0.736786
0.000000	0.001892	-0.730713
0.000000	0.000946	-0.729462
0.000000	0.000946	-0.739014
0.000000	0.000641	-0.738373
0.000000	0.000946	-0.732330
0.000000	0.000641	-0.734863
0.000000	0.000641	-0.734863
0.000000	0.000946	-0.734558
0.000000	0.001282	-0.732330
0.000000	0.000946	-0.731995
0.000000	0.000946	-0.736145
0.000000	0.000946	-0.736450
0.000000	0.001282	-0.733276
0.000000	0.001282	-0.732635
0.000000	0.000946	-0.733582
0.000000	0.001282	-0.732635
0.000000	0.001282	-0.737091
0.000000	0.001282	-0.735504
0.000000	0.000946	-0.733582
0.000000	0.001587	-0.730103
0.000000	0.000946	-0.731049
0.000000	0.001282	-0.737091
0.000000	0.000641	-0.738037
0.000000	0.000641	-0.736786
0.000000	0.000641	-0.732635
0.000000	0.000946	-0.731995
0.000000	0.001282	-0.730713
0.000000	0.001282	-0.732330
0.000000	0.000641	-0.732941
0.000000	0.000946	-0.731689
0.000000	0.000946	-0.740601
0.000000	0.001282	-0.729126
0.000000	0.000946	-0.734222
0.000000	0.001892	-0.731049
0.000000	0.000946	-0.739319
0.000000	0.001282	-0.736786
0.000000	0.000641	-0.736786
0.000000	0.000641	-0.738678
0.000000	0.001282	-0.733276
0.000000	0.001282	-0.733917
0.000000	0.000641	-0.736450
0.000000	0.001282	-0.735199
0.000000	0.000946	-0.736450
0.000000	0.001282	-0.731995
0.000000	0.000946	-0.734222
0.000000	0.000336	-0.740265
0.000000	0.001282	-0.735809
0.000000	0.001587	-0.730713
0.000000	0.000641	-0.729462
0.000000	0.000946	-0.734863
0.000000	0.000946	-0.736145
0.000000	0.001282	-0.739960
0.000000	0.000946	-0.736450
0.000000	0.000946	-0.734558
0.000000	0.001282	-0.733276
0.000000	0.001282	-0.737732
0.000000	0.000641	-0.732330
0.000000	0.000641	-0.735199
0.000000	0.000336	-0.736786
0.000000	0.000946	-0.735504
0.000000	0.000946	-0.732635
0.000000	0.000641	-0.735809
0.000000	0.000946	-0.736786
0.000000	0.001282	-0.733917
0.000000	0.000946	-0.741241
0.000000	0.000641	-0.739319
0.000000	0.000946	-0.731689
0.000000	0.000641	-0.739655
0.000000	0.000946	-0.735504
0.000000	0.001282	-0.736450
0.000000	0.000000	-0.730713
0.000000	0.001587	-0.736145
0.000000	0.001587	-0.730713
0.000000	0.000641	-0.739960
0.000000	0.000641	-0.734863
0.000000	0.000946	-0.732941
0.000000	0.000946	-0.732330
0.000000	0.000946	-0.731689
0.000000	0.001587	-0.734863
0.000000	0.000641	-0.737427
0.000000	0.000641	-0.737091
0.000000	0.000946	-0.740601
0.000000	0.001282	-0.736786
0.000000	0.000946	-0.734558
0.000000	0.001282	-0.731995
0.000000	0.000946	-0.736145
0.000000	0.000946	-0.736450
0.000000	0.000641	-0.737091
0.000000	0.001282	-0.729462
0.000000	0.000641	-0.735809
0.000000	0.001282	-0.739319
0.000000	0.000946	-0.737732
0.000000	0.000946	-0.737427
0.000000	0.000946	-0.739319
0.000000	0.000641	-0.739014
0.000000	0.000000	-0.738037
0.000000	0.000641	-0.738037
0.000000	0.000641	-0.736786
0.000000	0.000946	-0.738678
0.000000	0.000946	-0.729767
0.000000	0.001282	-0.741547
0.000000	0.000946	-0.735809
0.000000	0.000946	-0.735504
0.000000	0.000336	-0.736450
0.000000	0.000946	-0.729767
0.000000	0.001282	-0.735504
0.000000	0.000946	-0.729767
0.000000	0.000946	-0.738037
0.000000	0.000946	-0.739319
0.000000	0.000946	-0.736786
0.000000	-0.000305	-0.732941
0.000000	0.000946	-0.735199
0.000000	0.000946	-0.731049
0.000000	0.001282	-0.735504
0.000000	0.001282	-0.736145
0.000000	0.000336	-0.737091
0.000000	0.000641	-0.735199
0.000000	0.001282	-0.732941
0.000000	0.002228	-0.736786
0.000000	0.001587	-0.735809
0.000000	0.000641	-0.733582
0.000000	0.001282	-0.739960
0.000000	0.000641	-0.729126
0.000000	0.000641	-0.730713
0.000000	0.000336	-0.741241
0.000000	0.001587	-0.734222
0.000000	0.000336	-0.735504
0.000000	0.000946	-0.741241
0.000000	0.000336	-0.739014
0.000000	0.000336	-0.739655
0.000000	0.001282	-0.739655
0.000000	0.000641	-0.740265
