FORCE/DISPLACEMENT CLAMP EXPERIMENT 
 3/20/2015 
 
 Experiment Name: 	 Default 
 Cantilever ID #: 	 Default 
 Sampling rate (Hz): 	 1000 
 Actuation Mode: 	 Open Loop 
 
 Set Point (V) 	 Actuator Value (V) 	 Piezo Signal (V) 
0.000000	0.000336	-0.078857
0.000000	0.000946	-0.075653
0.000000	0.000641	-0.083618
0.000000	0.001282	-0.077881
0.000000	0.000946	-0.071533
0.000000	0.000946	-0.078522
0.000000	0.000336	-0.082672
0.000000	0.000336	-0.079468
0.000000	0.000641	-0.074707
0.000000	0.000641	-0.077576
0.000000	0.000641	-0.075653
0.000000	0.000641	-0.072144
0.000000	0.000946	-0.076294
0.000000	0.000946	-0.075653
0.000000	0.000946	-0.076935
0.000000	0.000946	-0.072144
0.000000	0.000946	-0.071533
0.000000	0.000641	-0.070892
0.000000	0.000641	-0.074402
0.000000	0.000946	-0.074707
0.000000	0.000641	-0.083313
0.000000	0.000946	-0.075653
0.000000	0.000641	-0.073761
0.000000	0.000946	-0.078522
0.000000	0.000641	-0.069611
0.000000	0.000946	-0.079163
0.000000	0.000641	-0.078217
0.000000	0.000946	-0.076294
0.000000	0.000641	-0.081390
0.000000	0.000336	-0.072784
0.000000	0.000336	-0.079468
0.000000	0.000946	-0.070892
0.000000	0.000641	-0.078217
0.000000	0.000641	-0.071533
0.000000	0.000946	-0.080444
0.000000	0.000336	-0.073120
0.000000	0.000336	-0.073425
0.000000	0.000336	-0.072144
0.000000	0.001282	-0.075012
0.000000	0.000946	-0.075012
0.000000	0.000946	-0.081085
0.000000	0.000946	-0.081390
0.000000	0.000641	-0.076935
0.000000	0.000946	-0.076935
0.000000	0.000946	-0.073761
0.000000	0.000336	-0.075012
0.000000	0.000946	-0.077881
0.000000	0.000641	-0.076294
0.000000	0.000000	-0.073425
0.000000	0.000641	-0.079468
0.000000	0.000641	-0.078522
0.000000	0.000641	-0.072784
0.000000	0.000641	-0.077881
0.000000	0.000946	-0.071198
0.000000	0.000946	-0.081726
0.000000	0.000946	-0.083954
0.000000	0.000336	-0.082672
0.000000	0.000946	-0.073425
0.000000	0.001587	-0.070251
0.000000	0.000336	-0.073761
0.000000	0.000946	-0.077576
0.000000	0.000946	-0.078857
0.000000	0.000336	-0.078217
0.000000	0.000641	-0.073761
0.000000	0.000946	-0.073120
0.000000	-0.000305	-0.068970
0.000000	0.001282	-0.075012
0.000000	0.000946	-0.069305
0.000000	0.000336	-0.076935
0.000000	0.000641	-0.074402
0.000000	0.000641	-0.077240
0.000000	0.000000	-0.078217
0.000000	0.000641	-0.079163
0.000000	0.000641	-0.073120
0.000000	0.000641	-0.073120
0.000000	0.000946	-0.075989
0.000000	0.000946	-0.075348
0.000000	0.000946	-0.080109
0.000000	0.001282	-0.075348
0.000000	0.000336	-0.076935
0.000000	0.000641	-0.069916
0.000000	0.001282	-0.076294
0.000000	0.001587	-0.082672
0.000000	0.000336	-0.082031
0.000000	0.000641	-0.079803
0.000000	0.000946	-0.075989
0.000000	0.000336	-0.076294
0.000000	0.000641	-0.076630
0.000000	0.001282	-0.072144
0.000000	0.000336	-0.075012
0.000000	0.001282	-0.083954
0.000000	0.000000	-0.084564
0.000000	0.000946	-0.074402
0.000000	0.000336	-0.072479
0.000000	0.000641	-0.072144
0.000000	0.000641	-0.072479
0.000000	0.000641	-0.081390
0.000000	0.000336	-0.076630
0.000000	0.000336	-0.081726
0.000000	0.000946	-0.074066
0.000000	0.001282	-0.072479
0.000000	0.000641	-0.076630
0.000000	0.001282	-0.072144
0.000000	0.000946	-0.072479
0.000000	0.000641	-0.081726
0.000000	0.001282	-0.077881
0.000000	0.000641	-0.083313
0.000000	0.001282	-0.075012
0.000000	0.000641	-0.073761
0.000000	0.000336	-0.069916
0.000000	0.000641	-0.075012
0.000000	0.000946	-0.080109
0.000000	0.000946	-0.077240
0.000000	0.001282	-0.075012
0.000000	0.000641	-0.072144
0.000000	0.000946	-0.080109
0.000000	0.000946	-0.077881
0.000000	0.000946	-0.071838
0.000000	0.000336	-0.078217
0.000000	0.000336	-0.077881
0.000000	0.000946	-0.074402
0.000000	0.000946	-0.076294
0.000000	0.000946	-0.073120
0.000000	0.000641	-0.076630
0.000000	0.000946	-0.074066
0.000000	0.000336	-0.079468
0.000000	0.001282	-0.078857
0.000000	0.000641	-0.073120
0.000000	0.000641	-0.072784
0.000000	0.001282	-0.082031
0.000000	0.001282	-0.073120
0.000000	0.000641	-0.075653
0.000000	0.000641	-0.076294
0.000000	0.000336	-0.076935
0.000000	0.000641	-0.079163
0.000000	0.000946	-0.068329
0.000000	0.001282	-0.072479
0.000000	0.000336	-0.076630
0.000000	0.000336	-0.075348
0.000000	0.000000	-0.077240
0.000000	0.000946	-0.075989
0.000000	0.000641	-0.073120
0.000000	0.000946	-0.073425
0.000000	0.000641	-0.080109
0.000000	0.000336	-0.076294
0.000000	0.000946	-0.075989
0.000000	0.000641	-0.082336
0.000000	0.000946	-0.078217
0.000000	0.000946	-0.071198
0.000000	0.000946	-0.075653
0.000000	0.000946	-0.074707
0.000000	0.000946	-0.073120
0.000000	0.000641	-0.073120
0.000000	0.000946	-0.073761
0.000000	0.000946	-0.080750
0.000000	0.000946	-0.080444
0.000000	0.000946	-0.073425
0.000000	0.000946	-0.075653
0.000000	0.000336	-0.074066
0.000000	0.000946	-0.078217
0.000000	0.000946	-0.076935
0.000000	0.000336	-0.084900
0.000000	0.000336	-0.072479
0.000000	0.000336	-0.071838
0.000000	0.001282	-0.069916
0.000000	0.000946	-0.072784
0.000000	0.000336	-0.078217
0.000000	0.000641	-0.078522
0.000000	0.000946	-0.080109
0.000000	0.000641	-0.075653
0.000000	0.000641	-0.077881
0.000000	0.000946	-0.072479
0.000000	0.000641	-0.074707
0.000000	0.000641	-0.075989
0.000000	0.000946	-0.071198
0.000000	0.000336	-0.077576
0.000000	0.000336	-0.077576
0.000000	0.000946	-0.069916
0.000000	0.000946	-0.074402
0.000000	0.000336	-0.072144
0.000000	0.000946	-0.070892
0.000000	0.000946	-0.073425
0.000000	0.000946	-0.075989
0.000000	0.001282	-0.076630
0.000000	0.000641	-0.074402
0.000000	0.000946	-0.074066
0.000000	0.000336	-0.077881
0.000000	0.000946	-0.076294
0.000000	0.000946	-0.082031
0.000000	0.001282	-0.074066
0.000000	0.000641	-0.083618
0.000000	0.000336	-0.075012
0.000000	0.000336	-0.080444
0.000000	0.000641	-0.076630
0.000000	0.000946	-0.072784
0.000000	0.000641	-0.082031
0.000000	0.000946	-0.079163
0.000000	0.000336	-0.079163
0.000000	0.000946	-0.071198
0.000000	0.000946	-0.073120
0.000000	0.001282	-0.074402
0.000000	0.000641	-0.073425
0.000000	0.000641	-0.074066
0.000000	0.000946	-0.076935
0.000000	0.001282	-0.072144
0.000000	0.000336	-0.075012
0.000000	0.000946	-0.073120
0.000000	0.000946	-0.071198
0.000000	0.000336	-0.073761
0.000000	0.000641	-0.077576
0.000000	0.001282	-0.072144
0.000000	0.000641	-0.072479
0.000000	0.000946	-0.075348
0.000000	0.000336	-0.072784
0.000000	0.000336	-0.074066
0.000000	0.000946	-0.077576
0.000000	0.000946	-0.074402
0.000000	0.000946	-0.076935
0.000000	0.000641	-0.073120
0.000000	0.000641	-0.077240
0.000000	0.000000	-0.077240
0.000000	0.000641	-0.073425
0.000000	0.000336	-0.082031
0.000000	0.000946	-0.078857
0.000000	0.000641	-0.079468
0.000000	0.000946	-0.072479
0.000000	0.000336	-0.073425
0.000000	0.001282	-0.075989
0.000000	0.000336	-0.072784
0.000000	0.000641	-0.080750
0.000000	0.001282	-0.076294
0.000000	0.000946	-0.073761
0.000000	0.001282	-0.075989
0.000000	0.001282	-0.074066
0.000000	0.000641	-0.075348
0.000000	0.000336	-0.078857
0.000000	0.000000	-0.073120
0.000000	0.000946	-0.074707
0.000000	0.000641	-0.078522
0.000000	0.000336	-0.074402
0.000000	0.000946	-0.068970
0.000000	0.000946	-0.074707
0.000000	0.000946	-0.075989
0.000000	0.000336	-0.080750
0.000000	0.000946	-0.075653
0.000000	0.000946	-0.074707
0.000000	0.000946	-0.075348
0.000000	0.000641	-0.070892
0.000000	0.000946	-0.071533
0.000000	0.001282	-0.075012
0.000000	0.000946	-0.076935
0.000000	0.000641	-0.076935
0.000000	0.000946	-0.065155
0.000000	0.000641	-0.078217
0.000000	0.000336	-0.071533
0.000000	0.000641	-0.080444
0.000000	0.000641	-0.079163
0.000000	0.000946	-0.074707
0.000000	0.001282	-0.078522
0.000000	0.000946	-0.075348
0.000000	0.000641	-0.076294
0.000000	0.001282	-0.071838
0.000000	0.000336	-0.080109
0.000000	0.001587	-0.075348
0.000000	0.000946	-0.079468
0.000000	0.000946	-0.077881
0.000000	0.000946	-0.079468
0.000000	0.000641	-0.078522
0.000000	0.000336	-0.081726
0.000000	0.001282	-0.071838
0.000000	0.001282	-0.070251
0.000000	0.000946	-0.074707
0.000000	0.000946	-0.077240
0.000000	0.000946	-0.079468
0.000000	0.000641	-0.075012
0.000000	0.000641	-0.081085
0.000000	0.000946	-0.075348
0.000000	0.000946	-0.070892
0.000000	0.000946	-0.076294
0.000000	0.000641	-0.073425
0.000000	0.000641	-0.077881
0.000000	0.000946	-0.074402
0.000000	0.000946	-0.073761
0.000000	0.000641	-0.075012
0.000000	0.000641	-0.079468
0.000000	0.000641	-0.077576
0.000000	0.000641	-0.075653
0.000000	0.000946	-0.072479
0.000000	0.000946	-0.074066
0.000000	0.001587	-0.088074
0.000000	0.000946	-0.073120
0.000000	0.000946	-0.078217
0.000000	0.000946	-0.074066
0.000000	0.000641	-0.076630
0.000000	0.000946	-0.077881
0.000000	0.000641	-0.073761
0.000000	0.000641	-0.077576
0.000000	0.000946	-0.076294
0.000000	0.000000	-0.070251
0.000000	0.000641	-0.075989
0.000000	0.000336	-0.081085
0.000000	0.000946	-0.080109
0.000000	0.000641	-0.071838
0.000000	0.001282	-0.073425
0.000000	0.000946	-0.071198
0.000000	0.000946	-0.085541
0.000000	0.000641	-0.075348
0.000000	0.000336	-0.079163
0.000000	0.000336	-0.076630
0.000000	0.000641	-0.073120
0.000000	0.000946	-0.072479
0.000000	0.001282	-0.081085
0.000000	0.001282	-0.075989
0.000000	0.000946	-0.070892
0.000000	0.000336	-0.077881
0.000000	0.000946	-0.075989
0.000000	0.000641	-0.075989
0.000000	0.000946	-0.073761
0.000000	0.001282	-0.075012
0.000000	0.000641	-0.072479
0.000000	0.000946	-0.071838
0.000000	0.001587	-0.074707
0.000000	0.000641	-0.071838
0.000000	0.000641	-0.072784
0.000000	0.001282	-0.072144
0.000000	0.000946	-0.074707
0.000000	0.000946	-0.080750
0.000000	0.000946	-0.075348
0.000000	0.000946	-0.081726
0.000000	0.000641	-0.079163
0.000000	0.000946	-0.074707
0.000000	0.000336	-0.074066
0.000000	0.000946	-0.073120
0.000000	0.000946	-0.073425
0.000000	0.000336	-0.077240
0.000000	0.000946	-0.080750
0.000000	0.000946	-0.075989
0.000000	0.000641	-0.078217
0.000000	0.000641	-0.073425
0.000000	0.001282	-0.075989
0.000000	0.000946	-0.073761
0.000000	0.000946	-0.076630
0.000000	0.000641	-0.075012
0.000000	0.000946	-0.072784
0.000000	0.000336	-0.076630
0.000000	0.000946	-0.074066
0.000000	0.000641	-0.074402
0.000000	0.000641	-0.078522
0.000000	0.000641	-0.078522
0.000000	0.000946	-0.073425
0.000000	0.000641	-0.079803
0.000000	0.000641	-0.075012
0.000000	0.000336	-0.071198
0.000000	0.000641	-0.075653
0.000000	0.000336	-0.086182
0.000000	0.000946	-0.082336
0.000000	0.000946	-0.081390
0.000000	0.000946	-0.075348
0.000000	0.000336	-0.075348
0.000000	0.000946	-0.074707
0.000000	0.000946	-0.071838
0.000000	0.001282	-0.076935
0.000000	0.000641	-0.080444
0.000000	0.000946	-0.071198
0.000000	0.000641	-0.077576
0.000000	0.001282	-0.069916
0.000000	0.000946	-0.074066
0.000000	0.000336	-0.073425
0.000000	0.000641	-0.081085
0.000000	0.000336	-0.076294
0.000000	0.000641	-0.072144
0.000000	0.000946	-0.075989
0.000000	0.000946	-0.077881
0.000000	0.000336	-0.082031
0.000000	0.000641	-0.075348
0.000000	0.001282	-0.076630
0.000000	0.000336	-0.084259
0.000000	0.000641	-0.071533
0.000000	0.000946	-0.073425
0.000000	0.001282	-0.079803
0.000000	0.000946	-0.076294
0.000000	0.000641	-0.075653
0.000000	0.000336	-0.078522
0.000000	0.001282	-0.077576
0.000000	0.000641	-0.075012
0.000000	0.000946	-0.065460
0.000000	0.000946	-0.074066
0.000000	0.001282	-0.076294
0.000000	0.000946	-0.075012
0.000000	0.000336	-0.080750
0.000000	0.000641	-0.081085
0.000000	0.001282	-0.074707
0.000000	0.000641	-0.078857
0.000000	0.001282	-0.073425
0.000000	0.000946	-0.074066
0.000000	0.000946	-0.075653
0.000000	0.000641	-0.079163
0.000000	0.000641	-0.075012
0.000000	0.000641	-0.074707
0.000000	0.000641	-0.070557
0.000000	0.000946	-0.072479
0.000000	0.000641	-0.070557
0.000000	0.000641	-0.081085
0.000000	0.000641	-0.077576
0.000000	0.000946	-0.082672
0.000000	0.000946	-0.078857
0.000000	0.000336	-0.075348
0.000000	0.000946	-0.076630
0.000000	0.000641	-0.073425
0.000000	0.000946	-0.080444
0.000000	0.000946	-0.080750
