FORCE/DISPLACEMENT CLAMP EXPERIMENT 
 3/31/2015 
 
 Experiment Name: 	 Chirp on Glass from 100 Hz to 1 Hz, 2um Indent 
 Cantilever ID #: 	 SOI3_E4 
 Sampling rate (Hz): 	 1000 
 Actuation Mode: 	 Disp. Clamp 
 
 Set Point (V) 	 Actuator Value (V) 	 Piezo Signal (V) 
0.000000	-0.000641	0.464111
0.000000	-0.001892	0.468567
0.000000	0.000946	0.466339
0.000000	-0.000305	0.469543
0.000000	0.000000	0.469208
0.000000	0.000641	0.467957
0.000000	-0.000641	0.466675
0.000000	0.001282	0.463806
0.000000	-0.000641	0.469849
0.000000	0.000641	0.463806
0.000000	-0.000305	0.464111
0.000000	0.000000	0.467957
0.000000	-0.001251	0.469543
0.000000	0.000000	0.465729
0.000000	0.000641	0.465088
0.000000	0.000000	0.467957
0.000000	-0.000946	0.469543
0.000000	0.000641	0.460632
0.000000	0.000336	0.463165
0.000000	0.000336	0.462219
0.000000	-0.000305	0.459015
0.000000	-0.000305	0.465088
0.000000	-0.000641	0.457428
0.000000	-0.000641	0.454895
0.000000	0.000000	0.456482
0.000000	0.000336	0.457123
0.000000	0.000000	0.460297
0.000000	-0.000305	0.457764
0.000000	0.000000	0.459991
0.000000	-0.000641	0.456787
0.000000	0.000946	0.459991
0.000000	-0.000305	0.465393
0.000000	0.000000	0.462219
0.000000	0.000641	0.461884
0.000000	0.000946	0.466339
0.000000	0.000336	0.464111
0.000000	-0.000305	0.468567
0.000000	-0.000305	0.460632
0.000000	0.000641	0.464447
0.000000	-0.000946	0.471436
0.000000	0.000336	0.466034
0.000000	0.000000	0.458710
0.000000	-0.000946	0.460297
0.000000	0.000336	0.462860
0.000000	0.000641	0.459015
0.000000	0.000336	0.460632
0.000000	-0.000946	0.464752
0.000000	-0.000305	0.462219
0.000000	-0.000305	0.464447
0.000000	-0.001587	0.466034
0.000000	-0.000305	0.467316
0.000000	0.000336	0.469208
0.000000	0.000000	0.469543
0.000000	-0.000305	0.471130
0.000000	0.000336	0.467621
0.000000	0.000000	0.470490
0.000000	0.000641	0.469849
0.000000	0.000000	0.464752
0.000000	0.000000	0.464752
0.000000	0.000000	0.465088
0.000000	-0.000946	0.462219
0.000000	-0.000641	0.459351
0.000000	-0.000305	0.458710
0.000000	-0.000305	0.460937
0.000000	-0.000641	0.464111
0.000000	-0.000946	0.466980
0.000000	0.000000	0.470184
0.000000	0.000000	0.465088
0.000000	0.000641	0.463501
0.000000	0.000000	0.463501
0.000000	-0.000641	0.462524
0.000000	-0.000305	0.462219
0.000000	-0.000946	0.466339
0.000000	-0.000946	0.462860
0.000000	-0.001251	0.466034
0.000000	-0.000641	0.466034
0.000000	-0.000641	0.459351
0.000000	0.000000	0.459351
0.000000	-0.000641	0.461243
0.000000	0.001282	0.462860
0.000000	-0.000641	0.459351
0.000000	-0.000305	0.461884
0.000000	-0.000946	0.456787
0.000000	-0.000305	0.454895
0.000000	-0.000305	0.462524
0.000000	-0.000641	0.463806
0.000000	-0.000305	0.463806
0.000000	0.000000	0.465393
0.000000	-0.000641	0.471130
0.000000	0.000641	0.466034
0.000000	0.000000	0.465393
0.000000	-0.000641	0.468567
0.000000	-0.000641	0.468567
0.000000	0.000000	0.465393
0.000000	-0.000305	0.460297
0.000000	-0.000641	0.466675
0.000000	-0.001251	0.463501
0.000000	0.000000	0.460632
0.000000	-0.000305	0.462860
0.000000	0.000336	0.464447
0.000000	0.000641	0.457123
0.000000	-0.000641	0.456177
0.000000	-0.000641	0.460632
0.000000	0.000336	0.461243
0.000000	0.000336	0.461578
0.000000	-0.000305	0.457764
0.000000	-0.000641	0.464752
0.000000	0.000336	0.463806
0.000000	0.000000	0.465729
0.000000	0.000641	0.468262
0.000000	-0.000641	0.468903
0.000000	-0.000305	0.468262
0.000000	0.000336	0.472412
0.000000	-0.000641	0.467957
0.000000	0.000641	0.466675
0.000000	-0.001251	0.464447
0.000000	0.000000	0.464752
0.000000	0.000000	0.464111
0.000000	0.000336	0.462219
0.000000	-0.000641	0.464447
0.000000	0.000336	0.463806
0.000000	0.000336	0.465088
0.000000	0.000336	0.459015
0.000000	0.000000	0.459656
0.000000	-0.000305	0.460297
0.000000	0.000000	0.459351
0.000000	-0.000305	0.459015
0.000000	-0.000946	0.465729
0.000000	0.000336	0.463806
0.000000	0.000336	0.458405
0.000000	0.000336	0.461243
0.000000	-0.001251	0.460297
0.000000	-0.000641	0.459991
0.000000	-0.000305	0.465393
0.000000	-0.000946	0.459991
0.000000	-0.000641	0.462524
0.000000	0.000000	0.461578
0.000000	-0.000641	0.463806
0.000000	0.000336	0.464111
0.000000	-0.000641	0.466339
0.000000	0.000641	0.465088
0.000000	-0.000305	0.461884
0.000000	0.000000	0.467957
0.000000	-0.000305	0.464752
0.000000	0.000000	0.466675
0.000000	-0.000641	0.468567
0.000000	-0.000305	0.467957
0.000000	0.000000	0.470184
0.000000	-0.000305	0.462860
0.000000	-0.000305	0.461243
0.000000	-0.000946	0.459351
0.000000	-0.000946	0.461578
0.000000	-0.000305	0.462219
0.000000	0.000000	0.462524
0.000000	-0.001251	0.465088
0.000000	-0.000305	0.462860
0.000000	-0.000305	0.461243
0.000000	0.000000	0.463806
0.000000	-0.000641	0.465088
0.000000	0.000000	0.466675
0.000000	0.000000	0.466034
0.000000	-0.001587	0.467957
0.000000	0.000336	0.463501
0.000000	-0.000641	0.466339
0.000000	-0.000305	0.471771
0.000000	-0.001251	0.467316
0.000000	-0.000946	0.466675
0.000000	0.000946	0.468567
0.000000	0.000000	0.467957
