FORCE/DISPLACEMENT CLAMP EXPERIMENT 
 4/29/2015 
 
 Experiment Name: 	 Default 
 Cantilever ID #: 	 Default 
 Sampling rate (Hz): 	 10000 
 Actuation Mode: 	 Open Loop 
 
 Set Point (V) 	 Actuator Value (V) 	 Piezo Signal (V) 
0.000000	0.316620	1.482330
0.000000	0.316620	1.484222
0.000000	0.316315	1.484558
0.000000	0.316315	1.482330
0.000000	0.316315	1.478485
0.000000	0.316010	1.480103
0.000000	0.316315	1.481049
0.000000	0.316620	1.481354
0.000000	0.316315	1.485504
0.000000	0.316010	1.486145
0.000000	0.316315	1.487091
0.000000	0.315674	1.481995
0.000000	0.316315	1.484222
0.000000	0.316010	1.487732
0.000000	0.316620	1.485199
0.000000	0.316315	1.475952
0.000000	0.316620	1.478821
0.000000	0.316315	1.484863
0.000000	0.316956	1.480103
0.000000	0.316620	1.474670
0.000000	0.316620	1.484863
0.000000	0.315674	1.475647
0.000000	0.316315	1.481995
0.000000	0.316620	1.487091
0.000000	0.316620	1.474670
0.000000	0.316956	1.480408
0.000000	0.316315	1.481049
0.000000	0.316620	1.464813
0.000000	0.316620	1.482971
0.000000	0.316620	1.486786
0.000000	0.316620	1.484863
0.000000	0.316010	1.484558
0.000000	0.316620	1.488068
0.000000	0.316620	1.487427
0.000000	0.316620	1.485199
0.000000	0.316315	1.484222
0.000000	0.316315	1.483917
0.000000	0.316956	1.478821
0.000000	0.316315	1.481689
0.000000	0.316956	1.484558
0.000000	0.316620	1.481689
0.000000	0.315674	1.484863
0.000000	0.316315	1.486145
0.000000	0.316315	1.482635
0.000000	0.316956	1.481689
0.000000	0.316010	1.485504
0.000000	0.316620	1.485199
0.000000	0.316620	1.481354
0.000000	0.316620	1.475311
0.000000	0.316620	1.479462
0.000000	0.316620	1.474365
0.000000	0.315674	1.484558
0.000000	0.316315	1.483917
0.000000	0.316315	1.483612
0.000000	0.316315	1.484222
0.000000	0.316315	1.482971
0.000000	0.316620	1.481995
0.000000	0.316620	1.481049
0.000000	0.316620	1.475647
0.000000	0.315674	1.475006
0.000000	0.316956	1.476593
