FORCE/DISPLACEMENT CLAMP EXPERIMENT 
 3/31/2015 
 
 Experiment Name: 	 Chirp on Glass from 100 Hz to 1 Hz, 2um Indent 
 Cantilever ID #: 	 SOI3_E4 
 Sampling rate (Hz): 	 1000 
 Actuation Mode: 	 Disp. Clamp 
 
 Set Point (V) 	 Actuator Value (V) 	 Piezo Signal (V) 
0.000000	0.000641	0.357117
0.000000	0.000000	0.349792
0.000000	-0.000946	0.352356
0.000000	0.000336	0.353943
0.000000	0.000336	0.356476
0.000000	-0.000305	0.355225
0.000000	-0.000946	0.358063
0.000000	0.000336	0.355530
0.000000	0.000000	0.357452
0.000000	-0.000305	0.353943
0.000000	-0.000946	0.357452
0.000000	0.000946	0.361908
0.000000	0.000641	0.359344
0.000000	0.000336	0.357452
0.000000	0.000000	0.361572
0.000000	0.000336	0.357758
0.000000	0.000000	0.357758
0.000000	-0.001251	0.358704
0.000000	0.000946	0.354584
0.000000	-0.000946	0.357758
0.000000	-0.000641	0.353943
0.000000	0.000336	0.355530
0.000000	-0.001251	0.360626
0.000000	-0.001892	0.353607
0.000000	-0.000305	0.354889
0.000000	0.000000	0.351715
0.000000	0.000641	0.349152
0.000000	-0.000641	0.348846
0.000000	-0.001587	0.354584
0.000000	0.000000	0.347565
0.000000	0.000000	0.353943
0.000000	0.000336	0.352020
0.000000	0.000336	0.356171
0.000000	0.000000	0.353607
0.000000	0.000000	0.348206
0.000000	0.001587	0.352356
0.000000	-0.001587	0.351715
0.000000	0.000641	0.359344
0.000000	-0.000946	0.355225
0.000000	0.000000	0.356171
0.000000	-0.000641	0.356476
0.000000	0.000000	0.358398
0.000000	0.000000	0.354889
0.000000	-0.000946	0.358063
0.000000	0.000336	0.356171
0.000000	-0.000305	0.354584
0.000000	-0.001251	0.358704
0.000000	-0.000641	0.358063
0.000000	-0.001251	0.356171
0.000000	0.000000	0.362213
0.000000	-0.000305	0.359680
0.000000	-0.000641	0.360626
0.000000	-0.000641	0.358063
0.000000	0.000000	0.359344
0.000000	0.000336	0.359985
0.000000	-0.000641	0.359039
0.000000	0.000946	0.358704
0.000000	-0.000946	0.359344
0.000000	0.000336	0.362213
0.000000	0.000000	0.352356
0.000000	-0.001251	0.356812
0.000000	0.000336	0.355835
0.000000	0.000336	0.353302
0.000000	0.000000	0.351379
0.000000	-0.000641	0.352356
0.000000	0.000641	0.350128
0.000000	-0.000641	0.349152
0.000000	0.000641	0.349487
0.000000	0.000336	0.352661
0.000000	0.000946	0.350433
0.000000	-0.000305	0.352997
0.000000	-0.000305	0.358704
0.000000	0.000000	0.355225
0.000000	-0.001251	0.354889
0.000000	0.000336	0.355835
0.000000	-0.000946	0.349152
0.000000	-0.000641	0.357117
0.000000	-0.000305	0.351715
0.000000	-0.001251	0.355835
0.000000	0.000641	0.352020
0.000000	0.000641	0.358704
0.000000	0.000000	0.356171
0.000000	0.000336	0.358398
0.000000	-0.000305	0.360626
0.000000	-0.000641	0.358063
0.000000	0.000641	0.357758
0.000000	-0.000641	0.361267
0.000000	0.000000	0.358398
0.000000	0.000641	0.355835
0.000000	-0.000641	0.355835
0.000000	0.000336	0.351715
0.000000	0.000641	0.355530
0.000000	0.000000	0.354889
0.000000	-0.000641	0.352020
0.000000	0.000641	0.353302
0.000000	0.000000	0.353302
0.000000	0.000000	0.355225
0.000000	0.000336	0.359039
0.000000	0.000641	0.356171
0.000000	-0.000305	0.359344
0.000000	0.000946	0.361908
0.000000	0.000000	0.358704
0.000000	0.000000	0.361267
0.000000	-0.000641	0.356476
0.000000	0.000641	0.358063
0.000000	-0.000305	0.354584
0.000000	-0.000305	0.357117
0.000000	-0.000305	0.357117
0.000000	0.000336	0.352661
0.000000	0.000641	0.351715
0.000000	-0.000305	0.352997
0.000000	0.000000	0.355225
0.000000	-0.001251	0.352020
0.000000	-0.000305	0.353607
0.000000	-0.000305	0.349792
0.000000	-0.000641	0.348846
0.000000	0.000336	0.349487
0.000000	-0.001251	0.352020
0.000000	-0.000305	0.355530
0.000000	-0.000946	0.354889
0.000000	0.000000	0.356812
0.000000	0.000000	0.350433
0.000000	-0.000641	0.354248
0.000000	0.000336	0.354889
